,daily_return
7/5/11,-0.001473171
7/6/11,-0.004839773
7/7/11,0.014364763
7/8/11,-0.01176817
7/11/11,-0.023341699
7/12/11,-0.024982995
7/13/11,0.00597682
7/14/11,-0.017139749
7/15/11,0.002307225
7/18/11,-0.018871427
7/19/11,0.029086636
7/20/11,-0.007508782
7/21/11,0.006302718
7/22/11,0.021818789
7/25/11,-0.018269698
7/26/11,-0.000634144
7/27/11,-0.043004134
7/28/11,-0.005595554
7/29/11,-0.000948567
8/1/11,-0.003855907
8/2/11,-0.02189183
8/3/11,0.019182351
8/4/11,-0.049009787
8/5/11,-0.025158306
8/8/11,-0.081531777
8/9/11,0.054936582
8/10/11,-0.037857238
8/11/11,0.049811668
8/12/11,0.000289332
8/15/11,0.031717903
8/16/11,-0.026745829
8/17/11,-0.013835426
8/18/11,-0.073410936
8/19/11,-0.014590041
8/22/11,0.002915478
8/23/11,0.0514398
8/24/11,0.006736503
8/25/11,-0.024699283
8/26/11,0.031942011
8/29/11,0.04383019
8/30/11,0.005433445
8/31/11,-0.003745199
9/1/11,-0.014028728
9/2/11,-0.030417555
9/6/11,-0.009571744
9/7/11,0.041531621
9/8/11,-0.018449803
9/9/11,-0.027138697
9/12/11,0.017575924
9/13/11,0.019057967
9/14/11,0.029306248
9/15/11,0.00350654
9/16/11,-0.013193807
9/19/11,-0.013852928
9/20/11,-0.024069565
9/21/11,-0.027668839
9/22/11,-0.037524496
9/23/11,0.018234027
9/26/11,0.014118724
9/27/11,0.021236748
9/28/11,-0.040161225
9/29/11,-0.001822929
9/30/11,-0.027817386
10/3/11,-0.042336261
10/4/11,0.055732907
10/5/11,0.029101821
10/6/11,0.028014358
10/7/11,-0.008325347
10/10/11,0.028932817
10/11/11,-0.001580003
10/12/11,0.017109005
10/13/11,0.013627587
10/14/11,0.008116669
10/17/11,-0.032071895
10/18/11,0.020235495
10/19/11,-0.041037818
10/20/11,0.001833834
10/21/11,0.016926095
10/24/11,0.038653014
10/25/11,-0.040993747
10/26/11,0.018738304
10/27/11,0.059218889
10/28/11,0.008445962
10/31/11,-0.025823415
11/1/11,-0.034398113
11/2/11,0.014320379
11/3/11,0.035760102
11/4/11,0.005386675
11/7/11,-0.007693545
11/8/11,0.012003453
11/9/11,-0.048156543
11/10/11,0.004569726
11/11/11,0.029909343
11/14/11,-0.010612164
11/15/11,0.014520832
11/16/11,-0.02576414
11/17/11,-0.025003559
11/18/11,-0.006438839
11/21/11,-0.023040643
11/22/11,-0.013826667
11/23/11,-0.033252283
11/25/11,-0.012165907
11/28/11,0.043583364
11/29/11,-0.005847379
11/30/11,0.055943828
12/1/11,-6.62E-05
12/2/11,0.005239209
12/5/11,0.015578383
12/6/11,-0.004518929
12/7/11,-0.002672074
12/8/11,-0.029048764
12/9/11,0.023363952
12/12/11,-0.023850235
12/13/11,-0.023942489
12/14/11,-0.018149047
12/15/11,-1.02E-05
12/16/11,0.008108636
12/19/11,-0.024580155
12/20/11,0.043379368
12/21/11,-0.019098421
12/22/11,0.026546877
12/23/11,0.007470869
12/27/11,0.000644958
12/28/11,-0.017158467
12/29/11,0.011716746
12/30/11,-0.005737371
1/3/12,0.009415316
1/4/12,-0.003387733
1/5/12,0.013290955
1/6/12,0.000136896
1/9/12,0.013390113
1/10/12,0.017575918
1/11/12,0.0015078
1/12/12,0.003855786
1/13/12,-0.006232884
1/17/12,0.007029278
1/18/12,0.039021466
1/19/12,0.017736259
1/20/12,-0.004798774
1/23/12,-0.011195027
1/24/12,0.011796976
1/25/12,0.002049529
1/26/12,-0.005365252
1/27/12,0.005477713
1/30/12,-0.004863658
1/31/12,-0.000883134
2/1/12,0.020294902
2/2/12,0.006122278
2/3/12,0.023747129
2/6/12,-0.007259955
2/7/12,0.002403583
2/8/12,0.007381044
2/9/12,0.005850622
2/10/12,-0.012151728
2/13/12,0.007713412
2/14/12,0.004563057
2/15/12,-0.000842035
2/16/12,0.022231462
2/17/12,-0.004487784
2/21/12,-0.007262735
2/22/12,-0.00661006
2/23/12,0.008371231
2/24/12,0.002864804
2/27/12,-0.00088734
2/28/12,0.002733583
2/29/12,-0.017338452
3/1/12,0.002733151
3/2/12,-0.011748877
3/5/12,-0.016974992
3/6/12,-0.016862629
3/7/12,0.009603066
3/8/12,0.019970975
3/9/12,0.004066717
3/12/12,-0.007324183
3/13/12,0.020520106
3/14/12,-0.008112574
3/15/12,0.013228513
3/16/12,-0.001402186
3/19/12,0.006277963
3/20/12,-0.004061095
3/21/12,0.003060943
3/22/12,-0.007835683
3/23/12,0.006909751
3/26/12,0.019636953
3/27/12,-0.00647065
3/28/12,-0.010956898
3/29/12,0.001939623
3/30/12,0.000224086
4/2/12,0.002812003
4/3/12,-0.010984155
4/4/12,-0.020523155
4/5/12,0.002504955
4/9/12,-0.018802412
4/10/12,-0.021927877
4/11/12,0.018464855
4/12/12,0.017649063
4/13/12,-0.021305369
4/16/12,-0.004509107
4/17/12,0.016580349
4/18/12,-0.003746702
4/19/12,-0.007405128
4/20/12,-0.013018412
4/23/12,-0.016681019
4/24/12,-0.007221614
4/25/12,0.031384899
4/26/12,0.000327592
4/27/12,0.016600716
4/30/12,-0.004795927
5/1/12,0.008027656
5/2/12,-0.009086577
5/3/12,-0.03971158
5/4/12,-0.026500836
5/7/12,-0.014239518
5/8/12,-0.003661172
5/9/12,-0.007187803
5/10/12,-0.00272306
5/11/12,0.000131519
5/14/12,-0.017055922
5/15/12,-0.003681519
5/16/12,-0.009398213
5/17/12,-0.015703809
5/18/12,-0.02116473
5/21/12,0.024474837
5/22/12,-0.010607692
5/23/12,0.007916024
5/24/12,-0.010788959
5/25/12,0.003533404
5/29/12,0.018455466
5/30/12,-0.008474535
5/31/12,-0.006311687
6/1/12,-0.029400932
6/4/12,0.004168204
6/5/12,0.017664287
6/6/12,0.028920999
6/7/12,-0.013410712
6/8/12,0.011188783
6/11/12,-0.028132305
6/12/12,0.016959886
6/13/12,-0.004839094
6/14/12,-0.00232902
6/15/12,0.022239746
6/18/12,-0.002912521
6/19/12,0.018985893
6/20/12,-0.00097898
6/21/12,-0.032912215
6/22/12,0.012443487
6/25/12,-0.021526521
6/26/12,-0.000281787
6/27/12,0.017860295
